file	line	classification	rationale	text
templates/index.md	2	front_matter	YAML metadata field	title: "Templates"
templates/index.md	3	front_matter	YAML metadata field	description: "Ready-to-use templates for BISO program implementation including stakeholder mapping, trust scoring, pulse surveys, and implementation tracking"
templates/BISO_TEMPLATE-01_Stakeholder_Mapping.md	2	front_matter	YAML metadata field	title: "Stakeholder Mapping Template"
templates/BISO_TEMPLATE-01_Stakeholder_Mapping.md	3	front_matter	YAML metadata field	description: "Ready-to-use template for identifying, categorizing, and prioritizing BISO program stakeholders"
templates/BISO_TEMPLATE-01_Stakeholder_Mapping.md	4	front_matter	YAML metadata field	parent: "Templates"
templates/BISO_TEMPLATE-01_Stakeholder_Mapping.md	273	example_language	Quoted prose/example/dialogue	1. **Trust Scorecard (NTS)** → Measure relationship quality with "Manage Closely" stakeholders
templates/BISO_TEMPLATE-01_Stakeholder_Mapping.md	274	example_language	Quoted prose/example/dialogue	2. **Monthly NTS Survey** → Gather trust and diagnostic feedback from "Manage Closely" and "Keep Informed" groups
templates/BISO_TEMPLATE-01_Stakeholder_Mapping.md	288	example_language	Quoted prose/example/dialogue	- Celebrate movement of stakeholders to "Manage Closely" (growing interest!)
templates/BISO_TEMPLATE-01_Stakeholder_Mapping.md	293	example_language	Quoted prose/example/dialogue	- Ignore "Monitor" stakeholders completely (they can move quadrants)
templates/BISO_TEMPLATE-01_Stakeholder_Mapping.md	294	example_language	Quoted prose/example/dialogue	- Over-engage "Monitor" group (wastes their time and yours)
templates/02_Trust_Equation_Scorecard.md	2	front_matter	YAML metadata field	title: "Trust Equation Scorecard"
templates/02_Trust_Equation_Scorecard.md	3	front_matter	YAML metadata field	description: "Executive trust index template for evaluating and tracking BISO stakeholder confidence"
templates/02_Trust_Equation_Scorecard.md	4	front_matter	YAML metadata field	parent: "Templates"
templates/03_Monthly_Pulse_Survey.md	2	front_matter	YAML metadata field	title: "Monthly Pulse Survey"
templates/03_Monthly_Pulse_Survey.md	3	front_matter	YAML metadata field	description: "Monthly survey template for assessing BISO program health, stakeholder satisfaction, and engagement levels"
templates/03_Monthly_Pulse_Survey.md	4	front_matter	YAML metadata field	parent: "Templates"
templates/03_Monthly_Pulse_Survey.md	130	example_language	Table/example/conversational sample	| Jan | CFO | Finance | 3 | "Slow response times" | Yes - schedule call |
templates/03_Monthly_Pulse_Survey.md	153	example_language	Quoted prose/example/dialogue	✅ **Personalize:** Use stakeholder names, not generic "Dear User"
templates/03_Monthly_Pulse_Survey.md	241	example_language	Table/example/conversational sample	- Ask: "What should we keep doing?"
templates/03_Monthly_Pulse_Survey.md	251	example_language	Table/example/conversational sample	- Ask: "What would make this a 5?"
templates/03_Monthly_Pulse_Survey.md	260	example_language	Quoted prose/example/dialogue	3. **Ask directly:** "What's not working? What should I change?"
templates/03_Monthly_Pulse_Survey.md	295	example_language	Quoted prose/example/dialogue	2. **Ask open questions:** "Tell me more about that..." "What would good look like?"
templates/03_Monthly_Pulse_Survey.md	296	example_language	Quoted prose/example/dialogue	3. **Acknowledge:** "I hear you. That's frustrating."
templates/03_Monthly_Pulse_Survey.md	297	example_language	Quoted prose/example/dialogue	4. **Commit to action:** "Here's what I'll do..." (Be specific)
templates/03_Monthly_Pulse_Survey.md	298	example_language	Quoted prose/example/dialogue	5. **Follow up:** "I'll check back in 2 weeks. Here's what you should expect."
templates/03_Monthly_Pulse_Survey.md	308	example_language	Table/example/conversational sample	| Jan | VP Retail | Retail | 4 | "Good support" | None | ✅ |
templates/03_Monthly_Pulse_Survey.md	309	example_language	Table/example/conversational sample	| Jan | CFO | Finance | 3 | "Slow responses" | Call scheduled 1/15 | 🟡 |
templates/03_Monthly_Pulse_Survey.md	310	example_language	Table/example/conversational sample	| Jan | CRO | Sales | 5 | "Excellent partner" | Thank you sent | ✅ |
templates/03_Monthly_Pulse_Survey.md	311	example_language	Table/example/conversational sample	| Jan | VP Ops | Operations | 2 | "Never available" | Call scheduled 1/12 | 🔴 |
templates/03_Monthly_Pulse_Survey.md	312	example_language	Table/example/conversational sample	| Feb | VP Retail | Retail | 5 | "Much improved" | None | ✅ |
templates/03_Monthly_Pulse_Survey.md	313	example_language	Table/example/conversational sample	| Feb | CFO | Finance | 4 | "Better!" | None | ✅ |
templates/03_Monthly_Pulse_Survey.md	358	example_language	Table/example/conversational sample	A: No, if you want to follow up on issues. Anonymous surveys don't let you help specific stakeholders. Promise confidentiality instead: "Your individual responses won't be shared, but I will follow up personally to address concerns."
prompts/BISO_Policy_Analysis_Prompt.yaml	15	template_or_prompt	Prompt/template structure	- Hierarchy/placement patterns to detect: “line of business,” “first line,” “second line,” “risk advisory,” “governance,” “control oversight,” “RACI.”
prompts/BISO_Policy_Analysis_Prompt.yaml	44	template_or_prompt	Prompt/template structure	- Sweep for synonyms/aliases using semantic matching and pattern cues (e.g., “business information security *”, “* ISO” near “business unit/LOB/division”, “first line” + “information security”).
prompts/BISO_Policy_Analysis_Prompt.yaml	54	template_or_prompt	Prompt/template structure	policy_id: "{{doc_title_or_id}}"
