file	line	text
CLAUDE.md	29	- Example: "Completes FOR-74: Add financial quantification and navigation to BISOPRO-02 Problem Statement"
CLAUDE.md	30	- Example with line numbers: "Completes FOR-76: Transform BISOPRO-06 Authority Framework with executive summary (lines 3-26), navigation (lines 30-55), and visual elements (lines 160-236)"
CLAUDE.md	121	| `.note` | `{: .note }` | Context, cross-references, "see also" |
CLAUDE.md	152	- **NEVER include "FOR-##:" prefixes in Linear issue titles** - these are the project's internal numbering system
CLAUDE.md	154	- Example: Use "Visual Framework Standardization" NOT "FOR-90: Visual Framework Standardization"
CLAUDE.md	168	- If search returns "exceeds maximum tokens" error, use smaller `limit` values (10-25)
CLAUDE.md	175	- When asked to update "all issues with X", search comprehensively first, then update systematically
CLAUDE.md	179	- Project: "FS-ISAC BISO Program"
CLAUDE.md	180	- Team: "FS-ISAC BISO Program"
CLAUDE.md	197	- Search for "week", "month", "year", "day" to catch all references
CLAUDE.md	243	- **AVOID date metadata** - do not include creation dates, modification dates, or "Last Updated" information in documents
CLAUDE.md	244	- **AVOID owner metadata** - do not include "Owner:", "Document Owner", or personal names in document metadata
CLAUDE.md	258	- Use `mcp__Linear__list_issues` with team="FS-ISAC BISO Program" and project="FS-ISAC BISO Program"
phase-2-structure.md	2	title: "Phase 2: Structure"
phase-2-structure.md	3	description: "Structure phase building organizational frameworks including authority, reporting, job descriptions, key processes, and support structures"
AGENTS.md	19	- `bundle exec jekyll build --baseurl "${BASE_PATH}"` (see workflow), so verify local changes with `jekyll build` before opening a PR.
templates/index.md	2	title: "Templates"
templates/index.md	3	description: "Ready-to-use templates for BISO program implementation including stakeholder mapping, trust scoring, pulse surveys, and implementation tracking"
templates/BISO_TEMPLATE-01_Stakeholder_Mapping.md	2	title: "Stakeholder Mapping Template"
templates/BISO_TEMPLATE-01_Stakeholder_Mapping.md	3	description: "Ready-to-use template for identifying, categorizing, and prioritizing BISO program stakeholders"
templates/BISO_TEMPLATE-01_Stakeholder_Mapping.md	4	parent: "Templates"
templates/BISO_TEMPLATE-01_Stakeholder_Mapping.md	273	1. **Trust Scorecard (NTS)** → Measure relationship quality with "Manage Closely" stakeholders
templates/BISO_TEMPLATE-01_Stakeholder_Mapping.md	274	2. **Monthly NTS Survey** → Gather trust and diagnostic feedback from "Manage Closely" and "Keep Informed" groups
templates/BISO_TEMPLATE-01_Stakeholder_Mapping.md	288	- Celebrate movement of stakeholders to "Manage Closely" (growing interest!)
templates/BISO_TEMPLATE-01_Stakeholder_Mapping.md	293	- Ignore "Monitor" stakeholders completely (they can move quadrants)
templates/BISO_TEMPLATE-01_Stakeholder_Mapping.md	294	- Over-engage "Monitor" group (wastes their time and yours)
templates/02_Trust_Equation_Scorecard.md	2	title: "Trust Equation Scorecard"
templates/02_Trust_Equation_Scorecard.md	3	description: "Executive trust index template for evaluating and tracking BISO stakeholder confidence"
templates/02_Trust_Equation_Scorecard.md	4	parent: "Templates"
templates/03_Monthly_Pulse_Survey.md	2	title: "Monthly Pulse Survey"
templates/03_Monthly_Pulse_Survey.md	3	description: "Monthly survey template for assessing BISO program health, stakeholder satisfaction, and engagement levels"
templates/03_Monthly_Pulse_Survey.md	4	parent: "Templates"
templates/03_Monthly_Pulse_Survey.md	130	| Jan | CFO | Finance | 3 | "Slow response times" | Yes - schedule call |
templates/03_Monthly_Pulse_Survey.md	153	✅ **Personalize:** Use stakeholder names, not generic "Dear User"
templates/03_Monthly_Pulse_Survey.md	241	- Ask: "What should we keep doing?"
templates/03_Monthly_Pulse_Survey.md	251	- Ask: "What would make this a 5?"
templates/03_Monthly_Pulse_Survey.md	260	3. **Ask directly:** "What's not working? What should I change?"
templates/03_Monthly_Pulse_Survey.md	295	2. **Ask open questions:** "Tell me more about that..." "What would good look like?"
templates/03_Monthly_Pulse_Survey.md	296	3. **Acknowledge:** "I hear you. That's frustrating."
templates/03_Monthly_Pulse_Survey.md	297	4. **Commit to action:** "Here's what I'll do..." (Be specific)
templates/03_Monthly_Pulse_Survey.md	298	5. **Follow up:** "I'll check back in 2 weeks. Here's what you should expect."
templates/03_Monthly_Pulse_Survey.md	308	| Jan | VP Retail | Retail | 4 | "Good support" | None | ✅ |
templates/03_Monthly_Pulse_Survey.md	309	| Jan | CFO | Finance | 3 | "Slow responses" | Call scheduled 1/15 | 🟡 |
templates/03_Monthly_Pulse_Survey.md	310	| Jan | CRO | Sales | 5 | "Excellent partner" | Thank you sent | ✅ |
templates/03_Monthly_Pulse_Survey.md	311	| Jan | VP Ops | Operations | 2 | "Never available" | Call scheduled 1/12 | 🔴 |
templates/03_Monthly_Pulse_Survey.md	312	| Feb | VP Retail | Retail | 5 | "Much improved" | None | ✅ |
templates/03_Monthly_Pulse_Survey.md	313	| Feb | CFO | Finance | 4 | "Better!" | None | ✅ |
