section_id	paragraph_id	source_line	text
executive_summary	P01	95	Cybersecurity incidents can disrupt customer services and business operations, impacting companies’ reputations and profitability. The evolving threat landscape and emerging technologies are accelerating the need to mature the security capabilities of business and technology teams and ensure a close partnership with cybersecurity. 
executive_summary	P02	96	Many companies have implemented the Business Information Security Officer (BISO) role to help solve that challenge. The BISO acts as a liaison between business and cybersecurity, translating “security and compliance speak” into meaningful guidance and real-world recommendations. As a conduit between teams, BISOs reduce cyber risks, support business and compliance needs, and help companies manage risk and meet business objectives on time.
executive_summary	P03	97	Though BISOs are becoming increasingly common, the responsibilities and requirements of the role and its programmatic implementation and structure are not yet standard across industries. Lack of definition makes it more difficult for companies to build effective BISO programs or optimize existing ones. To help businesses build – or build out – a BISO program, experts in over a dozen companies in four industries developed this series of three white papers. The documents detail the BISO function and offer a comprehensive examination of organizational structures, tactical advice, and lessons learned from real-world experience.
executive_summary	P04	98	This Overview is industry-agnostic and designed for:
executive_summary	P05	99		•	Chief Information Security Officers (CISOs)/Chief Information Officers (CIOs)/Chief Risk Officers (CROs) considering the implementation of a BISO program or challenged with their program’s relationship with the business.
executive_summary	P06	100		•	C-level and other business executives faced with an ever-evolving cyber threat and risk landscape that requires division-specific oversight and direct partnership with cybersecurity.
executive_summary	P07	101		•	BISO leaders considering refinement of their BISO program.
executive_summary	P08	102		•	Cybersecurity professionals interested in assuming a BISO role.
executive_summary	P09	103	The paper describes how BISOs’ in-depth knowledge of cybersecurity and alignment to the business allows organizations to take a more proactive approach to cybersecurity. It outlines the role, its responsibilities, its service catalog, and concludes with a step-by-step outline for building a BISO program. Its goal is to help companies – regardless of sector or level of cyber maturity – increase the security and resilience of their firms. 
executive_summary	P10	104	See Structuring a BISO Role for Success: Responsibilities, Organizational Approaches, and Performance Indicators in the Business Information Security Officer Role to learn more about BISO duties, organizational structures, and performance indicators.
executive_summary	P11	105	Read Mapping the BISO Career: The Development of an Effective Business Information Security Officer for details on the skillsets, development approaches, and career paths typical of the role.
executive_summary	P12	106	See Structuring a BISO Role for Success: Responsibilities, Organizational Approaches, and Performance Indicators in the Business Information Security Officer Role to learn more about BISO duties, organizational structures, and performance indicators.
executive_summary	P13	107	Read Mapping the BISO Career: The Development of an Effective Business Information Security Officer for details on the skillsets, development approaches, and career paths typical of the role.
scoping_the_biso_role	P01	109	A Business Information Security Officer can be thought of as a multi-directional conduit, uniting cybersecurity, business, and technology functions, providing the partnership and direction necessary to move quickly and manage risk. 
scoping_the_biso_role	P02	110	Smaller companies often have a single BISO. Big, complex, or highly regulated organizations — such as those in the healthcare or financial services sectors — often employ multiple BISOs aligned to a specific business/function/region (BFR) to ensure compliance and robust cybersecurity measures according to each BFR’s unique needs. Companies with operations in several jurisdictions and/or geographies are more likely to employ multiple BISOs as well.
scoping_the_biso_role	P03	111	BISOs often report to the CISO or liaise with the CISO’s representatives and other technology teams in support of BFRs. (More information on the structure and organizational hierarchy of the BISO role can be found in the second paper in this series, Structuring a BISO Role for Success: Responsibilities, Organizational Approaches, and Performance Indicators in the Business Information Security Officer Role.) BISOs must therefore have technical expertise – but to build trust between teams, they also need communication skills, executive presence, and relationship management abilities. 
biso_responsibilities	P01	114	BISO responsibilities vary widely between business sectors but generally include: 
biso_responsibilities	P02	115		•	Consulting and advising – The BISO consults on security controls and is responsible for ensuring cyber threats are properly mitigated. They often deliver cybersecurity-domain counsel — from answering questions to deep-dive engagements on key business and technology initiatives — to both business leaders and cybersecurity teams and translate and clarify the words, actions, and motives of each group. This is a substantial benefit of a BISO program. Cybersecurity functions are often very complex and highly specialized. They have their own jargon, objectives, and way of thinking about the world. Business teams have their own terminology, motivations, and accountabilities as well. When these differing outlooks clash, trust can be hindered and business and technology teams can be left frustrated and confused. By providing counsel, BISOs reduce complexity and facilitate secure business operations.
biso_responsibilities	P03	116		•	Business cybersecurity accountability – BISOs align and engage with the business to foster knowledge of the people, objectives, challenges, and planned work that may affect cyber risk. The BISO shares responsibility with business unit leaders in ensuring compliance with cybersecurity policies, legal regulations, and oversight of the cybersecurity efforts that enhance both divisional and corporate security.
biso_responsibilities	P04	117		•	BISOs don’t own the risk – they help define, communicate, escalate, and govern risk when necessary. Ultimately, the business owns the risk. 
biso_responsibilities	P05	118	BISOs don’t own the risk – they help define, communicate, escalate, and govern risk when necessary. Ultimately, the business owns the risk. 
the_biso_program_in_practice	P01	122	A key BISO responsibility is developing recommendations and cybersecurity direction based on risk and business input. BISOs provide that expertise by collecting, processing, and analyzing data and information directly related to the business and making recommendations. This information drives improved decision-making in the specific threat landscape, people, processes, and systems related to the business. 
the_biso_program_in_practice	P02	123	By implementing a BISO program, the risk profile of business teams can be escalated into the enterprise. Enterprises without BISOs tend to create programs, processes, and systems at the enterprise level, with little or no input from functions and business teams. As a result, they may lose important input from the broader organization.
the_biso_program_in_practice	P03	125	By implementing a BISO program, the risk profile of business teams can be escalated into the enterprise. Enterprises without BISOs tend to create programs, processes, and systems at the enterprise level, with little or no input from functions and business teams. As a result, they may lose important input from the broader organization.
the_biso_program_in_practice	P04	127	The objective is to ensure the effectiveness of security resources while assisting the business in meeting its goals. The role of the BISO is not to slow down the business in favor of cybersecurity. BISOs help the business understand the risks, provide balanced decision-making, and avoid surprises. 
building_a_biso_program	P01	129	The following approach to building a BISO program is developed by BISOs across industries. The steps are not necessarily sequential – some can be completed in tandem with one another – but the approach will help businesses develop an effective program. 
building_a_biso_program	P02	130		•	Research the demand 
building_a_biso_program	P03	131	Survey/interview stakeholders to document and validate the need for a program and related services to address business gaps. 
building_a_biso_program	P04	132		•	Identify the objectives 
building_a_biso_program	P05	133	Determine the business’ needs in order to define its objectives (e.g., improving customer satisfaction, enhancing cyber risk management, increasing uptake of security consulting offerings, etc.). 
building_a_biso_program	P06	134	The goals and objectives of the BISO program will be determined by its origin. For example, if the program originates from the CISO, then the BISO program will be cybersecurity-focused. If it originates from the business, the business will have more influence over the BISO program. 
building_a_biso_program	P07	135		•	Gather data
building_a_biso_program	P08	136	Conduct surveys, interviews and questionnaires to gather direct feedback. Hold one-on-one interviews with key stakeholders for in-depth insights. Ask industry peers what is working in their organizations. 
building_a_biso_program	P09	137	Next, identify common themes and patterns in the feedback. Prioritize the needs based on frequency and impact.
building_a_biso_program	P10	138	Then translate the feedback into specific, actionable steps. Draft a plan to address the most critical needs first.
building_a_biso_program	P11	139		•	Strategies to Gain Executive Commitment to a BISO Program
building_a_biso_program	P12	140	Requests for commitment to a BISO program/role should align with, augment, and elevate the business and cybersecurity mission, vision, and objectives. Where feasible, use a data-driven justification to supplement the request, highlighting how the BISO or more BISO resources will result in a return on investment (calculate the return as speed or time gained, costs reduced or avoided, compliance improved, etc.). Highlight the cost of inaction, as well as the real-world “wins” of competitors. 
building_a_biso_program	P13	141	Strategies to Gain Executive Commitment to a BISO Program
building_a_biso_program	P14	142	Requests for commitment to a BISO program/role should align with, augment, and elevate the business and cybersecurity mission, vision, and objectives. Where feasible, use a data-driven justification to supplement the request, highlighting how the BISO or more BISO resources will result in a return on investment (calculate the return as speed or time gained, costs reduced or avoided, compliance improved, etc.). Highlight the cost of inaction, as well as the real-world “wins” of competitors. 
building_a_biso_program	P15	143	Group stakeholders based on common characteristics (e.g., business division, level within the organization, service usage) to tailor the approach. Refer to the BISO Alignment Model in Structuring a BISO Role for Success: Responsibilities, Organizational Approaches, and Performance Indicators in the Business Information Security Officer Role for more information on segmenting stakeholders.
building_a_biso_program	P16	144	Define objectives and/or problems and scope. Document the business risks, problems, challenges and/or security gaps and risk appetite. Align the BISO program to the overall business strategy and outcomes derived from this research. 
building_a_biso_program	P17	145	Finally, build a BISO program maturity model and establish a high-level multiyear plan to execute and measure against. 
building_a_biso_program	P18	146		•	Secure executive support
building_a_biso_program	P19	147	Obtain buy-in from senior leadership and if possible, the Board of Directors. Their support is crucial for resource allocation and organizational commitment. 
building_a_biso_program	P20	148		•	Develop the framework 
building_a_biso_program	P21	149	Use an appropriate cybersecurity framework (e.g. NIST CSF) and service delivery framework (e.g., ITIL or COBIT) to guide the development of processes and practices. Where possible, align with industry-standard approaches and frameworks. Then create policies and procedures. 
building_a_biso_program	P22	150		•	For suggestions on reporting and metrics, see the Assessing the Success of a BISO Program/Role section in Structuring a BISO Role for Success: Responsibilities, Organizational Approaches, and Performance Indicators in the Business Information Security Officer Role.
building_a_biso_program	P23	151	For suggestions on reporting and metrics, see the Assessing the Success of a BISO Program/Role section in Structuring a BISO Role for Success: Responsibilities, Organizational Approaches, and Performance Indicators in the Business Information Security Officer Role.
building_a_biso_program	P24	152	Define the output and establish a process for stakeholder management. 
building_a_biso_program	P25	153	Then, define clear expectations for services, quality, performance, and response times.
building_a_biso_program	P26	154		•	Monitor and measure
building_a_biso_program	P27	155	Establish methods to measure and report, along with communication channels that will be used for reporting. Define key success metrics and how they will be measured. 
building_a_biso_program	P28	156	Next, define how BISOs will report risk and the status of the business to leadership and the security team.
building_a_biso_program	P29	157	It’s also important to establish channels for collecting feedback. Create a feedback loop so that the BISO team can influence the enterprise security strategy. 
building_a_biso_program	P30	158		•	Build the team 
building_a_biso_program	P31	159	For more information on the roles, responsibilities, and qualifications of a BISO see the Qualifications for the BISO Role section in Mapping the BISO Career: The Development of an Effective Business Information Security Officer. 
building_a_biso_program	P32	160	For suggestions on developing foundational support for the BISO to succeed, refer to the Cultural Support section of Structuring a BISO Role for Success: Responsibilities, Organizational Approaches, and Performance Indicators in the Business Information Security Officer Role 
building_a_biso_program	P33	161	For more information on training and maintaining BISO skills, see the Career Progression section in Mapping the BISO Career: The Development of an Effective Business Information Security Officer.
